finn_id,title,url,location,city,dealer_name,is_dealer,region,price_cleaned,year_cleaned,mileage_cleaned,battery_capacity_cleaned,effect_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,first_seen_date,last_seen_date,status,car_make,car_model
451929048,Nissan Leaf,https://www.finn.no/mobility/item/451929048,Gardermoen ∙ Birger N. Haug AS avd Gardermoen Outlet,Gardermoen,Birger N. Haug AS avd Gardermoen Outlet,1.0,Annet,144900.0,2020.0,63659.0,40.0,150.0,270.0,24.133333333333333,1.0,0.0,0.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
433626715,Nissan Leaf,https://www.finn.no/mobility/item/433626715,Vanvikan,Vanvikan,,0.0,Annet,139434.0,2019.0,122000.0,62.0,215.0,385.0,14.566666666666666,1.0,0.0,0.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453405191,Nissan Leaf,https://www.finn.no/mobility/item/453405191,Rud ∙ Birger N. Haug AS avd. Rud,Rud,Birger N. Haug AS avd. Rud,1.0,Annet,229900.0,2024.0,22660.0,39.0,150.0,278.0,25.6,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453403393,Nissan Leaf,https://www.finn.no/mobility/item/453403393,Rasta ∙ Auksjonen.No AS,Rasta,Auksjonen.No AS,1.0,Annet,65532.0,2019.0,218000.0,40.0,150.0,270.0,12.0,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453401055,Nissan Leaf,https://www.finn.no/mobility/item/453401055,Oslo,Oslo,,0.0,Oslo/Akershus,16942.0,2013.0,134215.0,40.0,109.0,270.0,0.5666666666666667,2.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453351357,Nissan Leaf,https://www.finn.no/mobility/item/453351357,Tromsø,Tromsø,,0.0,Nord-Norge,16942.0,2013.0,144000.0,24.0,109.0,50.0,12.033333333333331,4.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453326933,Nissan Leaf,https://www.finn.no/mobility/item/453326933,Skjetten ∙ Møller Bil Bruktbil avd. Outlet Stor-Oslo,Skjetten,Møller Bil Bruktbil avd. Outlet Stor-Oslo,1.0,Annet,59000.0,2017.0,75000.0,40.0,109.0,270.0,12.066666666666666,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453330939,Nissan Leaf,https://www.finn.no/mobility/item/453330939,Vennesla,Vennesla,,0.0,Annet,36942.0,2013.0,106600.0,40.0,109.0,270.0,10.133333333333333,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453309741,Nissan Leaf,https://www.finn.no/mobility/item/453309741,Klokkarvik,Klokkarvik,,0.0,Annet,52532.0,2017.0,168000.0,30.0,109.0,270.0,15.1,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453307370,Nissan Leaf,https://www.finn.no/mobility/item/453307370,Nesoddtangen,Nesoddtangen,,0.0,Annet,14942.0,2013.0,142000.0,40.0,109.0,270.0,8.266666666666667,3.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453299889,Nissan Leaf,https://www.finn.no/mobility/item/453299889,Skodje,Skodje,,0.0,Annet,33942.0,2013.0,103500.0,40.0,109.0,270.0,22.7,4.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453303332,Nissan Leaf,https://www.finn.no/mobility/item/453303332,Jakobsli,Jakobsli,,0.0,Annet,114532.0,2018.0,92440.0,40.0,150.0,270.0,6.0,2.0,0.0,0.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
448070988,Nissan Leaf,https://www.finn.no/mobility/item/448070988,Ski,Ski,,0.0,Oslo/Akershus,187505.0,2023.0,32736.0,39.0,150.0,270.0,12.933333333333334,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
453275492,Nissan Leaf,https://www.finn.no/mobility/item/453275492,Kristiansand S ∙ BERGES AUTO AS,Kristiansand S,BERGES AUTO AS,1.0,Sørlandet,49995.0,2014.0,135000.0,24.0,109.0,270.0,23.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
449913229,Nissan Leaf,https://www.finn.no/mobility/item/449913229,Rådal,Rådal,,0.0,Vestland,41532.0,2015.0,77330.0,24.0,109.0,270.0,15.6,1.0,0.0,0.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
426670130,Nissan Leaf,https://www.finn.no/mobility/item/426670130,Ørsta,Ørsta,,0.0,Annet,139000.0,2020.0,88000.0,40.0,150.0,270.0,18.2,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452796100,Nissan Leaf,https://www.finn.no/mobility/item/452796100,Hamar ∙ Storhamar Bil AS,Hamar,Storhamar Bil AS,1.0,Annet,169000.0,2020.0,57978.0,40.0,218.0,385.0,12.0,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
435811744,Nissan Leaf,https://www.finn.no/mobility/item/435811744,Lillestrøm,Lillestrøm,,0.0,Oslo/Akershus,139334.0,2018.0,90000.0,40.0,150.0,270.0,-0.1333333333333333,2.0,0.0,0.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452937970,Nissan Leaf,https://www.finn.no/mobility/item/452937970,Minnesund,Minnesund,,0.0,Annet,164532.0,2020.0,97729.0,62.0,215.0,385.0,-18.9,3.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452792743,Nissan Leaf,https://www.finn.no/mobility/item/452792743,Elverum ∙ Elverumbil AS,Elverum,Elverumbil AS,1.0,Annet,215000.0,2024.0,36056.0,40.0,150.0,278.0,12.0,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
448035512,Nissan Leaf,https://www.finn.no/mobility/item/448035512,Rud ∙ Birger N. Haug Outlet Rud,Rud,Birger N. Haug Outlet Rud,1.0,Annet,132900.0,2020.0,74682.0,40.0,150.0,270.0,23.366666666666667,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
438760191,Nissan Leaf,https://www.finn.no/mobility/item/438760191,Heimdal,Heimdal,,0.0,Annet,153532.0,2021.0,60770.0,40.0,150.0,270.0,21.7,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
451548192,Nissan Leaf,https://www.finn.no/mobility/item/451548192,Tomasjord,Tomasjord,,0.0,Annet,208532.0,2021.0,73000.0,62.0,215.0,385.0,18.133333333333333,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452904969,Nissan Leaf,https://www.finn.no/mobility/item/452904969,Bødalen ∙ Vøyen Auto,Bødalen,Vøyen Auto,1.0,Annet,102532.0,2018.0,104000.0,40.0,150.0,270.0,23.866666666666667,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452945936,Nissan Leaf,https://www.finn.no/mobility/item/452945936,Vanse ∙ Auksjonen.No AS,Vanse,Auksjonen.No AS,1.0,Annet,13942.0,2012.0,165100.0,40.0,109.0,270.0,12.0,1.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452782652,Nissan Leaf,https://www.finn.no/mobility/item/452782652,Kvinesdal ∙ Kverneland Bil | Volvo og MG Kvinesdal,Kvinesdal,Kverneland Bil | Volvo og MG Kvinesdal,1.0,Annet,134900.0,2019.0,96000.0,39.0,149.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
446905871,Nissan Leaf,https://www.finn.no/mobility/item/446905871,Lierstranda ∙ Røhneselmer AS avd. Lier,Lierstranda,Røhneselmer AS avd. Lier,1.0,Annet,221900.0,2022.0,34900.0,62.0,217.0,385.0,12.0,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452936689,Nissan Leaf,https://www.finn.no/mobility/item/452936689,Spillum ∙ Høylandet Auto AS,Spillum,Høylandet Auto AS,1.0,Annet,149000.0,2021.0,98500.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452691687,Nissan Leaf,https://www.finn.no/mobility/item/452691687,Ålesund ∙ Auto 8-8 Ålesund AS,Ålesund,Auto 8-8 Ålesund AS,1.0,Annet,159000.0,2020.0,85000.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
442114719,Nissan Leaf,https://www.finn.no/mobility/item/442114719,Lillestrøm ∙ Birger N. Haug AS Lillestrøm,Lillestrøm,Birger N. Haug AS Lillestrøm,1.0,Oslo/Akershus,179900.0,2022.0,44959.0,39.0,150.0,278.0,8.333333333333334,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452933021,Nissan Leaf,https://www.finn.no/mobility/item/452933021,Gol ∙ GOL AUTO AS,Gol,GOL AUTO AS,1.0,Annet,119000.0,2019.0,119171.0,40.0,122.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452930828,Nissan Leaf,https://www.finn.no/mobility/item/452930828,Jessheim ∙ CARSTORE OUTLET,Jessheim,CARSTORE OUTLET,1.0,Oslo/Akershus,159900.0,2022.0,91500.0,39.0,150.0,285.0,9.333333333333334,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452771047,Nissan Leaf,https://www.finn.no/mobility/item/452771047,Mauseidvåg ∙ BILHUSET SUNDE AS,Mauseidvåg,BILHUSET SUNDE AS,1.0,Annet,139800.0,2018.0,92000.0,40.0,150.0,278.0,12.0,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452930107,Nissan Leaf,https://www.finn.no/mobility/item/452930107,Trondheim ∙ Auto 8-8 Witro AS,Trondheim,Auto 8-8 Witro AS,1.0,Trøndelag,129000.0,2018.0,90100.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452760694,Nissan Leaf,https://www.finn.no/mobility/item/452760694,Trondheim ∙ Bilmekka AS,Trondheim,Bilmekka AS,1.0,Trøndelag,58900.0,2016.0,144000.0,40.0,109.0,270.0,12.0,2.0,0.0,1.0,Acenta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452536899,Nissan Leaf,https://www.finn.no/mobility/item/452536899,Lillestrøm ∙ Birger N. Haug AS Lillestrøm,Lillestrøm,Birger N. Haug AS Lillestrøm,1.0,Oslo/Akershus,279900.0,2023.0,14657.0,59.0,218.0,395.0,12.833333333333334,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452676299,Nissan Leaf,https://www.finn.no/mobility/item/452676299,Øvrebø ∙ DBBIL AS,Øvrebø,DBBIL AS,1.0,Annet,249000.0,2023.0,18100.0,40.0,218.0,396.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452536824,Nissan Leaf,https://www.finn.no/mobility/item/452536824,Tromsø ∙ Traasdahl AS,Tromsø,Traasdahl AS,1.0,Nord-Norge,224900.0,2024.0,23500.0,39.0,150.0,280.0,28.2,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452754283,Nissan Leaf,https://www.finn.no/mobility/item/452754283,Mjøndalen ∙ Auto Connect AS,Mjøndalen,Auto Connect AS,1.0,Annet,89000.0,2017.0,93300.0,30.0,109.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452674261,Nissan Leaf,https://www.finn.no/mobility/item/452674261,Ranheim ∙ Nardo Bil AS Jaguar Land Rover,Ranheim,Nardo Bil AS Jaguar Land Rover,1.0,Annet,139900.0,2018.0,57260.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452536579,Nissan Leaf,https://www.finn.no/mobility/item/452536579,Heimdal ∙ Myauto AS,Heimdal,Myauto AS,1.0,Annet,129000.0,2018.0,94605.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
444385287,Nissan Leaf,https://www.finn.no/mobility/item/444385287,Trondheim,Trondheim,,0.0,Trøndelag,193000.0,2022.0,42200.0,40.0,150.0,270.0,21.466666666666665,2.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452850005,Nissan Leaf,https://www.finn.no/mobility/item/452850005,Lillestrøm,Lillestrøm,,0.0,Oslo/Akershus,33942.0,2013.0,147500.0,24.0,109.0,270.0,16.633333333333333,2.0,0.0,0.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452535110,Nissan Leaf,https://www.finn.no/mobility/item/452535110,Heimdal ∙ Myauto AS,Heimdal,Myauto AS,1.0,Annet,123900.0,2018.0,129047.0,40.0,150.0,250.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452531854,Nissan Leaf,https://www.finn.no/mobility/item/452531854,Mauseidvåg ∙ BILHUSET SUNDE AS,Mauseidvåg,BILHUSET SUNDE AS,1.0,Annet,225800.0,2023.0,27000.0,40.0,150.0,278.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452665963,Nissan Leaf,https://www.finn.no/mobility/item/452665963,Lørenskog ∙ MAX AUTO AS,Lørenskog,MAX AUTO AS,1.0,Oslo/Akershus,229900.0,2024.0,29618.0,40.0,150.0,278.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452668681,Nissan Leaf,https://www.finn.no/mobility/item/452668681,Gardermoen ∙ Birger N. Haug AS avd Gardermoen Outlet,Gardermoen,Birger N. Haug AS avd Gardermoen Outlet,1.0,Annet,69900.0,2017.0,82150.0,30.0,109.0,270.0,16.1,1.0,0.0,0.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452851185,Nissan Leaf,https://www.finn.no/mobility/item/452851185,Kristiansand S ∙ Mobile Sørlandsparken AS,Kristiansand S,Mobile Sørlandsparken AS,1.0,Sørlandet,209000.0,2021.0,42700.0,62.0,215.0,385.0,19.866666666666667,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452656488,Nissan Leaf,https://www.finn.no/mobility/item/452656488,Lørenskog ∙ Auto Solution AS,Lørenskog,Auto Solution AS,1.0,Oslo/Akershus,114800.0,2019.0,82284.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
425071903,Nissan Leaf,https://www.finn.no/mobility/item/425071903,Klæbu,Klæbu,,0.0,Annet,54434.0,2016.0,162500.0,30.0,109.0,250.0,4.066666666666666,2.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452531428,Nissan Leaf,https://www.finn.no/mobility/item/452531428,Drammen ∙ Mobile Drammen AS,Drammen,Mobile Drammen AS,1.0,Oslo/Akershus,238900.0,2023.0,35998.0,59.0,218.0,395.0,18.6,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
451242743,Nissan Leaf,https://www.finn.no/mobility/item/451242743,Steinkjer,Steinkjer,,0.0,Annet,135000.0,2019.0,84000.0,40.0,150.0,270.0,18.466666666666665,2.0,0.0,0.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452530617,Nissan Leaf,https://www.finn.no/mobility/item/452530617,Drammen ∙ Mobile Drammen AS,Drammen,Mobile Drammen AS,1.0,Oslo/Akershus,167900.0,2022.0,22127.0,39.0,150.0,285.0,8.266666666666667,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452530495,Nissan Leaf,https://www.finn.no/mobility/item/452530495,Drammen ∙ Mobile Drammen AS,Drammen,Mobile Drammen AS,1.0,Oslo/Akershus,184900.0,2022.0,28741.0,39.0,150.0,278.0,1.6333333333333333,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452728165,Nissan Leaf,https://www.finn.no/mobility/item/452728165,Billingstad ∙ RøhneSelmer AS avd. Asker og Bærum,Billingstad,RøhneSelmer AS avd. Asker og Bærum,1.0,Annet,234900.0,2024.0,9106.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
450755255,Nissan Leaf,https://www.finn.no/mobility/item/450755255,Lillestrøm ∙ Birger N. Haug AS Lillestrøm,Lillestrøm,Birger N. Haug AS Lillestrøm,1.0,Oslo/Akershus,179900.0,2022.0,65178.0,39.0,150.0,278.0,9.966666666666669,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452833845,Nissan Leaf,https://www.finn.no/mobility/item/452833845,Ridabu ∙ Mobile Hamar AS,Ridabu,Mobile Hamar AS,1.0,Annet,169000.0,2023.0,84811.0,39.0,150.0,278.0,10.666666666666666,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452713190,Nissan Leaf,https://www.finn.no/mobility/item/452713190,Braskereidfoss,Braskereidfoss,,0.0,Oslo/Akershus,53532.0,2016.0,106000.0,30.0,109.0,270.0,23.33333333333333,4.0,0.0,0.0,Acenta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452530334,Nissan Leaf,https://www.finn.no/mobility/item/452530334,Drammen ∙ Mobile Drammen AS,Drammen,Mobile Drammen AS,1.0,Oslo/Akershus,179900.0,2022.0,32381.0,39.0,150.0,278.0,1.6333333333333333,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452647243,Nissan Leaf,https://www.finn.no/mobility/item/452647243,Gjerdrum ∙ Optimal Auto AS,Gjerdrum,Optimal Auto AS,1.0,Annet,199900.0,2021.0,73800.0,62.0,218.0,385.0,12.0,1.0,0.0,1.0,Tekna,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452530054,Nissan Leaf,https://www.finn.no/mobility/item/452530054,Drammen ∙ Mobile Drammen AS,Drammen,Mobile Drammen AS,1.0,Oslo/Akershus,164900.0,2021.0,29686.0,40.0,150.0,270.0,-2.466666666666667,1.0,0.0,1.0,N-Connecta,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452639352,Nissan Leaf,https://www.finn.no/mobility/item/452639352,Løten ∙ Autoplan AS,Løten,Autoplan AS,1.0,Annet,69000.0,2022.0,65411.0,40.0,150.0,270.0,22.6,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452526652,Nissan Leaf,https://www.finn.no/mobility/item/452526652,Stjørdal ∙ Auto 8-8 Trio AS,Stjørdal,Auto 8-8 Trio AS,1.0,Trøndelag,169000.0,2022.0,85347.0,39.0,149.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452519154,Nissan Leaf,https://www.finn.no/mobility/item/452519154,Stjørdal ∙ Auto 8-8 Trio AS,Stjørdal,Auto 8-8 Trio AS,1.0,Trøndelag,215000.0,2023.0,3800.0,39.0,150.0,270.0,12.0,1.0,0.0,1.0,Visia,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452703867,Nissan Leaf,https://www.finn.no/mobility/item/452703867,Søndeled ∙ Christian Aasbø AS,Søndeled,Christian Aasbø AS,1.0,Annet,89532.0,2018.0,138000.0,40.0,150.0,270.0,24.1,5.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452513782,Nissan Leaf,https://www.finn.no/mobility/item/452513782,Slemmestad,Slemmestad,,0.0,Annet,31932.0,2013.0,175000.0,24.0,109.0,120.0,15.833333333333334,2.0,0.0,0.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
452808226,Nissan Leaf,https://www.finn.no/mobility/item/452808226,Fetsund ∙ Nitteberg Bil AS,Fetsund,Nitteberg Bil AS,1.0,Annet,119000.0,2018.0,53500.0,40.0,150.0,270.0,12.0,1.0,0.0,1.0,Ukjent,2026-03-03,2026-03-03,Aktiv,Nissan,Leaf
